Municipio,Qtd-Doses-Distribuidas
BOA ESPERANÇA DO SUL,6781
BIRITIBA MIRIM,14279
BIRIGUI,63981
BILAC,4972
BERTIOGA,28292
BERNARDINO DE CAMPOS,6609
BENTO DE ABREU,1475
BEBEDOURO,46996
BAURU,233292
BATATAIS,34835
BASTOS,11490
BARUERI,129799
BARRINHA,12505
BARRETOS,77090
BARRA DO TURVO,5313
BARRA DO CHAPÉU,2841
BARRA BONITA,20653
BARIRI,18536
BARBOSA,3635
BARÃO DE ANTONINA,2209
BANANAL,6449
BÁLSAMO,5167
BALBINOS,1969
BADY BASSITT,10216
AVARÉ,50209
AVANHANDAVA,5278
AVAÍ,3546
AURIFLAMA,8871
ATIBAIA,80498
ASSIS,61745
ASPÁSIA,1256
ARUJÁ,39800
ARTUR NOGUEIRA,23486
ARIRANHA,5247
AREIÓPOLIS,4488
AREIAS,2042
AREALVA,5467
ARCO-ÍRIS,1578
ARARAS,70019
ARARAQUARA,136116
ARAPEÍ,1365
ARANDU,3358
ARAMINA,2959
ARAÇOIABA DA SERRA,17067
ARAÇATUBA,117959
ARAÇARIGUAMA,8786
APIAÍ,12550
APARECIDA D'OESTE,2955
APARECIDA,18617
ANHUMAS,2237
ANHEMBI,3440
ANGATUBA,12777
ANDRADINA,34167
ANALÂNDIA,2524
AMPARO,41796
AMÉRICO DE CAMPOS,3722
AMÉRICO BRASILIENSE,18014
AMERICANA,131462
ALVINLÂNDIA,1730
ÁLVARO DE CARVALHO,2249
ÁLVARES MACHADO,13106
ÁLVARES FLORENCE,3098
ALUMÍNIO,7642
ALTO ALEGRE,2765
ALTINÓPOLIS,9535
ALTAIR,1995
ALFREDO MARCONDES,2952
ALAMBARI,2965
AGUDOS,21042
ÁGUAS DE SÃO PEDRO,3009
ÁGUAS DE SANTA BÁRBARA,3863
ÁGUAS DE LINDÓIA,12517
ÁGUAS DA PRATA,5310
AGUAÍ,16471
ADOLFO,2625
ADAMANTINA,24769
