Municipio;Qtd-Doses-Distribuidas;;;
JACI;2357;;;
JACUPIRANGA;5331;;;
JAGUARIÚNA;15529;;;
JALES;21820;;;
JAMBEIRO;1731;;;
JANDIRA;25319;;;
JARDINÓPOLIS;13130;;;
JARINU;8598;;;
JAÚ;55273;;;
JERIQUARA;920;;;
JOANÓPOLIS;4837;;;
JOÃO RAMALHO;1126;;;
JOSÉ BONIFÁCIO;11907;;;
JÚLIO MESQUITA;1428;;;
JUMIRIM;820;;;
JUNDIAÍ;146603;;;
JUNQUEIRÓPOLIS;7376;;;
JUQUIÁ;6631;;;
JUQUITIBA;8482;;;
LAGOINHA;2092;;;
LARANJAL PAULISTA;9813;;;
LAVÍNIA;1828;;;
LAVRINHAS;1687;;;
LEME;28992;;;
LENÇÓIS PAULISTA;19313;;;
LIMEIRA;93356;;;
LINDÓIA;2400;;;
LINS;30040;;;
LORENA;29609;;;
LOURDES;987;;;
LOUVEIRA;9360;;;
LUCÉLIA;7479;;;
LUCIANÓPOLIS;1023;;;
LUÍS ANTÔNIO;3185;;;
LUIZIÂNIA;1612;;;
LUPÉRCIO;1482;;;
LUTÉCIA;1067;;;
MACATUBA;5185;;;
MACAUBAL;3303;;;
MACEDÔNIA;1580;;;
MAGDA;1401;;;
MAIRINQUE;13332;;;
MAIRIPORÃ;25164;;;
MANDURI;3104;;;
MARABÁ PAULISTA;1228;;;
MARACAÍ;4505;;;
MARAPOAMA;1307;;;
MARIÁPOLIS;1273;;;
MARÍLIA;98386;;;
MARINÓPOLIS;862;;;
MARTINÓPOLIS;8557;;;
MATÃO;27322;;;
MAUÁ;115046;;;
MENDONÇA;2125;;;
MERIDIANO;1528;;;
MESÓPOLIS;831;;;
MIGUELÓPOLIS;6662;;;
MINEIROS DO TIETÊ;3885;;;
MIRA ESTRELA;1397;;;
MIRACATU;6022;;;
MIRANDÓPOLIS;11038;;;
MIRANTE DO PARANAPANEMA;6512;;;
MIRASSOL;20509;;;
MIRASSOLÂNDIA;1814;;;
MOCOCA;26152;;;
MOGI DAS CRUZES;127509;;;
MOGI GUAÇU;51117;;;
MOGI MIRIM;33067;;;
MOMBUCA;1123;;;
MONÇÕES;1012;;;
MONGAGUÁ;19785;;;
MONTE ALEGRE DO SUL;2922;;;
MONTE ALTO;18411;;;
MONTE APRAZÍVEL;9069;;;
MONTE AZUL PAULISTA;6991;;;
MONTE CASTELO;1764;;;
MONTE MOR;13771;;;
MONTEIRO LOBATO;1864;;;
MORRO AGUDO;8358;;;
MORUNGABA;3966;;;
MOTUCA;1349;;;
MURUTINGA DO SUL;1925;;;
NANTES;824;;;
NARANDIBA;1341;;;
NATIVIDADE DA SERRA;2929;;;
NAZARÉ PAULISTA;5565;;;
NEVES PAULISTA;4115;;;
NHANDEARA;5256;;;
NIPOÃ;1231;;;
NOVA ALIANÇA;2474;;;
NOVA CAMPINA;1944;;;
NOVA CANAÃ PAULISTA;929;;;
NOVA CASTILHO;471;;;
NOVA EUROPA;2763;;;
NOVA GRANADA;6596;;;
NOVA GUATAPORANGA;938;;;
NOVA INDEPENDÊNCIA;1023;;;
NOVA LUZITÂNIA;1187;;;
NOVA ODESSA;15616;;;
NOVAIS;1198;;;
NOVO HORIZONTE;13758;;;
NUPORANGA;2673;;;
OCAUÇU;1431;;;
ÓLEO;1097;;;
OLÍMPIA;19650;;;
ONDA VERDE;1438;;;
ORIENTE;2419;;;
ORINDIÚVA;1499;;;
ORLÂNDIA;13178;;;
OSASCO;196939;;;
OSCAR BRESSANE;1394;;;
OSVALDO CRUZ;13593;;;
OURINHOS;40017;;;
OURO VERDE;3305;;;
OUROESTE;3375;;;
PACAEMBU;4760;;;
PALESTINA;4338;;;
PALMARES PAULISTA;2223;;;
PALMEIRA D'OESTE;4136;;;
PALMITAL;8859;;;
PANORAMA;4553;;;
PARAGUAÇU PAULISTA;14485;;;
PARAIBUNA;5923;;;
PARAÍSO;2291;;;
PARANAPANEMA;5477;;;
PARANAPUÃ;1471;;;
PARAPUÃ;4195;;;
PARDINHO;1925;;;
PARIQUERA-AÇU;8007;;;
PARISI;995;;;
PATROCÍNIO PAULISTA;4522;;;
PAULICÉIA;1854;;;
PAULÍNIA;25955;;;
PAULISTÂNIA;654;;;
PAULO DE FARIA;3192;;;
PEDERNEIRAS;13070;;;
PEDRA BELA;2062;;;
PEDRANÓPOLIS;1174;;;
PEDREGULHO;5131;;;
PEDREIRA;14737;;;
PEDRINHAS PAULISTA;1118;;;
PEDRO DE TOLEDO;3614;;;
PENÁPOLIS;24213;;;
PEREIRA BARRETO;9096;;;
PEREIRAS;2415;;;
PERUÍBE;24901;;;
PIACATU;1981;;;
PIEDADE;16526;;;
PILAR DO SUL;8625;;;
PINDAMONHANGABA;48559;;;
PINDORAMA;6245;;;
PINHALZINHO;5395;;;
PIQUEROBI;1551;;;
PIQUETE;5214;;;
PIRACAIA;8893;;;
PIRACICABA;138369;;;
PIRAJU;11006;;;
PIRAJUÍ;9079;;;
PIRANGI;4201;;;
PIRAPORA DO BOM JESUS;4144;;;
PIRAPOZINHO;8649;;;
PIRASSUNUNGA;27729;;;
PIRATININGA;5702;;;
PITANGUEIRAS;9506;;;
PLANALTO;1353;;;
PLATINA;1120;;;
POÁ;31067;;;
POLONI;2220;;;
POMPÉIA;8226;;;
PONGAÍ;1509;;;
PONTAL;8611;;;
PONTALINDA;1217;;;
PONTES GESTAL;941;;;
POPULINA;1855;;;
PORANGABA;3715;;;
PORTO FELIZ;15778;;;
PORTO FERREIRA;17508;;;
POTIM;4977;;;
POTIRENDABA;6147;;;
PRACINHA;597;;;
PRADÓPOLIS;4870;;;
PRAIA GRANDE;101386;;;
PRATÂNIA;1241;;;
PRESIDENTE ALVES;1658;;;
PRESIDENTE BERNARDES;6516;;;
PRESIDENTE EPITÁCIO;13303;;;
PRESIDENTE PRUDENTE;92378;;;
PRESIDENTE VENCESLAU;15659;;;
PROMISSÃO;12855;;;
QUADRA;1080;;;
QUATÁ;4159;;;
QUEIROZ;929;;;
QUELUZ;3331;;;
QUINTANA;2316;;;
RAFARD;2711;;;
RANCHARIA;10453;;;
REDENÇÃO DA SERRA;1336;;;
REGENTE FEIJÓ;6526;;;
REGINÓPOLIS;2144;;;
REGISTRO;23429;;;
RESTINGA;1830;;;
RIBEIRA;1249;;;
RIBEIRÃO BONITO;3676;;;
RIBEIRÃO BRANCO;4129;;;
RIBEIRÃO CORRENTE;1202;;;
RIBEIRÃO DO SUL;1781;;;
