Municipio;Qtd-Doses-Distribuidas;;;;
PEDRINHAS PAULISTA;923;;;;
PEDRO DE TOLEDO;3039;;;;
PENÁPOLIS;21228;;;;
PEREIRA BARRETO;8046;;;;
PEREIRAS;2105;;;;
PERUÍBE;21296;;;;
PIACATU;1701;;;;
PIEDADE;14021;;;;
PILAR DO SUL;7380;;;;
PINDAMONHANGABA;41549;;;;
PINDORAMA;5605;;;;
PINHALZINHO;4670;;;;
PIQUEROBI;1406;;;;
PIQUETE;4594;;;;
PIRACAIA;7613;;;;
PIRACICABA;118459;;;;
PIRAJU;9556;;;;
PIRAJUÍ;7834;;;;
PIRANGI;3676;;;;
PIRAPORA DO BOM JESUS;3599;;;;
PIRAPOZINHO;7449;;;;
PIRASSUNUNGA;24479;;;;
PIRATININGA;5082;;;;
PITANGUEIRAS;8351;;;;
PLANALTO;1163;;;;
PLATINA;970;;;;
POÁ;26297;;;;
POLONI;1970;;;;
POMPÉIA;7231;;;;
PONGAÍ;1309;;;;
PONTAL;7336;;;;
PONTALINDA;1047;;;;
PONTES GESTAL;806;;;;
POPULINA;1640;;;;
PORANGABA;3245;;;;
PORTO FELIZ;13473;;;;
PORTO FERREIRA;14983;;;;
POTIM;4162;;;;
POTIRENDABA;5427;;;;
PRACINHA;522;;;;
PRADÓPOLIS;4010;;;;
PRAIA GRANDE;86741;;;;
PRATÂNIA;1066;;;;
PRESIDENTE ALVES;1463;;;;
PRESIDENTE BERNARDES;5796;;;;
PRESIDENTE EPITÁCIO;11583;;;;
PRESIDENTE PRUDENTE;79733;;;;
PRESIDENTE VENCESLAU;13974;;;;
PROMISSÃO;11025;;;;
QUADRA;940;;;;
QUATÁ;3589;;;;
QUEIROZ;799;;;;
QUELUZ;2846;;;;
QUINTANA;2031;;;;
RAFARD;2386;;;;
RANCHARIA;9028;;;;
REDENÇÃO DA SERRA;1176;;;;
REGENTE FEIJÓ;5586;;;;
REGINÓPOLIS;1884;;;;
REGISTRO;18809;;;;
RESTINGA;1555;;;;
RIBEIRA;1089;;;;
RIBEIRÃO BONITO;3211;;;;
RIBEIRÃO BRANCO;3624;;;;
RIBEIRÃO CORRENTE;1062;;;;
RIBEIRÃO DO SUL;1546;;;;
RIBEIRÃO DOS ÍNDIOS;996;;;;
RIBEIRÃO GRANDE;1912;;;;
RIBEIRÃO PIRES;34751;;;;
RIBEIRÃO PRETO;212578;;;;
RIFAINA;1196;;;;
RINCÃO;2877;;;;
RINÓPOLIS;3293;;;;
RIO CLARO;63819;;;;
RIO DAS PEDRAS;6930;;;;
RIO GRANDE DA SERRA;9589;;;;
RIOLÂNDIA;2543;;;;
RIVERSUL;1724;;;;
ROSANA;5788;;;;
ROSEIRA;2645;;;;
RUBIÁCEA;780;;;;
RUBINÉIA;1212;;;;
SABINO;2064;;;;
SAGRES;857;;;;
SALES;2020;;;;
SALES OLIVEIRA;3698;;;;
SALESÓPOLIS;4114;;;;
SALMOURÃO;1482;;;;
SALTINHO;2379;;;;
SALTO;29839;;;;
SALTO DE PIRAPORA;11775;;;;
SALTO GRANDE;2720;;;;
SANDOVALINA;1046;;;;
SANTA ADÉLIA;4744;;;;
SANTA ALBERTINA;2200;;;;
SANTA BÁRBARA D'OESTE;47980;;;;
SANTA BRANCA;4398;;;;
SANTA CLARA D'OESTE;731;;;;
SANTA CRUZ DA CONCEIÇÃO;1586;;;;
SANTA CRUZ DA ESPERANÇA;705;;;;
SANTA CRUZ DAS PALMEIRAS;7965;;;;
SANTA CRUZ DO RIO PARDO;15148;;;;
SANTA ERNESTINA;1200;;;;
SANTA FÉ DO SUL;13207;;;;
SANTA GERTRUDES;4478;;;;
SANTA ISABEL;13483;;;;
SANTA LÚCIA;1854;;;;
SANTA MARIA DA SERRA;1517;;;;
SANTA MERCEDES;890;;;;
SANTA RITA DO PASSA QUATRO;10763;;;;
SANTA RITA D'OESTE;1042;;;;
SANTA ROSA DE VITERBO;7735;;;;
SANTA SALETE;710;;;;
SANTANA DA PONTE PENSA;728;;;;
SANTANA DE PARNAÍBA;30219;;;;
SANTO ANASTÁCIO;6929;;;;
SANTO ANDRÉ;233335;;;;
SANTO ANTÔNIO DA ALEGRIA;2427;;;;
SANTO ANTÔNIO DE POSSE;5467;;;;
SANTO ANTÔNIO DO ARACANGUÁ;2156;;;;
SANTO ANTÔNIO DO JARDIM;1949;;;;
SANTO ANTÔNIO DO PINHAL;1835;;;;
SANTO EXPEDITO;1117;;;;
SANTÓPOLIS DO AGUAPEÍ;1201;;;;
SANTOS;194713;;;;
SÃO BENTO DO SAPUCAÍ;3543;;;;
SÃO BERNARDO DO CAMPO;225055;;;;
SÃO CAETANO DO SUL;78284;;;;
SÃO CARLOS;78085;;;;
SÃO FRANCISCO;1123;;;;
SÃO JOÃO DA BOA VISTA;33950;;;;
SÃO JOÃO DAS DUAS PONTES;781;;;;
SÃO JOÃO DE IRACEMA;704;;;;
SÃO JOÃO DO PAU D'ALHO;965;;;;
SÃO JOAQUIM DA BARRA;15559;;;;
SÃO JOSÉ DA BELA VISTA;2058;;;;
SÃO JOSÉ DO BARREIRO;1203;;;;
SÃO JOSÉ DO RIO PARDO;19439;;;;
SÃO JOSÉ DO RIO PRETO;157779;;;;
