Municipio;Qtd-Doses-Distribuidas;;
CAPELA DO ALTO;3729;;
CAPIVARI;11747;;
CARAGUATATUBA;30569;;
CARAPICUÍBA;71135;;
CARDOSO;3795;;
CASA BRANCA;9202;;
CÁSSIA DOS COQUEIROS;801;;
CASTILHO;5677;;
CATANDUVA;42424;;
CATIGUÁ;1763;;
CEDRAL;3447;;
CERQUEIRA CÉSAR;4882;;
CERQUILHO;10613;;
CESÁRIO LANGE;3686;;
CHARQUEADA;3568;;
CHAVANTES;2951;;
CLEMENTINA;1591;;
COLINA;4864;;
COLÔMBIA;1660;;
CONCHAL;5460;;
CONCHAS;4811;;
CORDEIRÓPOLIS;5859;;
COROADOS;1343;;
CORONEL MACEDO;1263;;
CORUMBATAÍ;1056;;
COSMÓPOLIS;11792;;
COSMORAMA;2476;;
COTIA;46646;;
CRAVINHOS;8000;;
CRISTAIS PAULISTA;1938;;
CRUZÁLIA;630;;
CRUZEIRO;20255;;
CUBATÃO;24453;;
CUNHA;5760;;
DESCALVADO;9637;;
DIADEMA;77880;;
DIRCE REIS;632;;
DIVINOLÂNDIA;4121;;
DOBRADA;1549;;
DOIS CÓRREGOS;6659;;
DOLCINÓPOLIS;771;;
DOURADO;2697;;
DRACENA;17189;;
DUARTINA;3941;;
DUMONT;1839;;
ECHAPORÃ;2212;;
ELDORADO;5866;;
ELIAS FAUSTO;3424;;
ELISIÁRIO;886;;
EMBAÚBA;729;;
EMBU DAS ARTES;41208;;
EMBU-GUAÇU;14369;;
EMILIANÓPOLIS;971;;
ENGENHEIRO COELHO;3100;;
ESPÍRITO SANTO DO PINHAL;13068;;
ESPÍRITO SANTO DO TURVO;868;;
ESTIVA GERBI;2100;;
ESTRELA DO NORTE;630;;
ESTRELA D'OESTE;2736;;
EUCLIDES DA CUNHA PAULISTA;2113;;
FARTURA;4591;;
FERNANDO PRESTES;2169;;
FERNANDÓPOLIS;24979;;
FERNÃO;584;;
FERRAZ DE VASCONCELOS;31286;;
FLORA RICA;715;;
FLOREAL;1197;;
FLÓRIDA PAULISTA;3270;;
FLORÍNEA;915;;
FRANCA;81362;;
FRANCISCO MORATO;26462;;
FRANCO DA ROCHA;28782;;
GABRIEL MONTEIRO;885;;
GÁLIA;2304;;
GARÇA;13150;;
GASTÃO VIDIGAL;1082;;
GAVIÃO PEIXOTO;1012;;
GENERAL SALGADO;3592;;
GETULINA;3002;;
GLICÉRIO;1204;;
GUAIÇARA;2513;;
GUAIMBÊ;1630;;
GUAÍRA;9643;;
GUAPIAÇU;5225;;
GUAPIARA;4367;;
GUARÁ;4909;;
GUARAÇAÍ;2753;;
GUARACI;2907;;
GUARANI D'OESTE;608;;
GUARANTÃ;1598;;
GUARARAPES;8888;;
GUARAREMA;7057;;
GUARATINGUETÁ;33537;;
GUAREÍ;2707;;
GUARIBA;6993;;
GUARUJÁ;70888;;
GUARULHOS;253663;;
GUATAPARÁ;1778;;
GUZOLÂNDIA;1115;;
HERCULÂNDIA;2414;;
HOLAMBRA;2954;;
HORTOLÂNDIA;43449;;
IACANGA;2911;;
IACRI;1906;;
IARAS;1292;;
IBATÉ;5677;;
IBIRÁ;3468;;
IBIRAREMA;2010;;
IBITINGA;14674;;
IBIÚNA;20017;;
ICÉM;1982;;
IEPÊ;2363;;
IGARAÇU DO TIETÊ;4735;;
IGARAPAVA;7183;;
IGARATÁ;2457;;
IGUAPE;9008;;
ILHA COMPRIDA;3261;;
ILHA SOLTEIRA;8901;;
ILHABELA;6944;;
INDAIATUBA;53370;;
INDIANA;1454;;
INDIAPORÃ;1562;;
INÚBIA PAULISTA;1133;;
IPAUSSU;3475;;
IPERÓ;5308;;
IPEÚNA;1345;;
IPIGUÁ;1450;;
IPORANGA;1650;;
IPUÃ;3208;;
IRACEMÁPOLIS;5027;;
IRAPUÃ;1887;;
IRAPURU;2080;;
ITABERÁ;4410;;
ITAÍ;5106;;
ITAJOBI;5105;;
ITAJU;921;;
ITANHAÉM;29988;;
ITAOCA;1181;;
ITAPECERICA DA SERRA;30709;;
ITAPETININGA;38531;;
ITAPEVA;21182;;
ITAPEVI;35031;;
ITAPIRA;22463;;
ITAPIRAPUÃ PAULISTA;874;;
ITÁPOLIS;11946;;
ITAPORANGA;4404;;
ITAPUÍ;2901;;
ITAPURA;1147;;
ITAQUAQUECETUBA;48207;;
ITARARÉ;11701;;
ITARIRI;3554;;
ITATIBA;27423;;
ITATINGA;3675;;
ITIRAPINA;3446;;
ITIRAPUÃ;1696;;
ITOBI;2017;;
ITU;38342;;
ITUPEVA;9118;;
ITUVERAVA;12944;;
JABORANDI;1797;;
JABOTICABAL;21407;;
JACAREÍ;57336;;
JACI;1930;;
JACUPIRANGA;4036;;
JAGUARIÚNA;12158;;
JALES;17004;;
JAMBEIRO;1334;;
JANDIRA;18827;;
JARDINÓPOLIS;10284;;
JARINU;6831;;
JAÚ;43580;;
JERIQUARA;747;;
JOANÓPOLIS;3856;;
JOÃO RAMALHO;841;;
JOSÉ BONIFÁCIO;9452;;
JÚLIO MESQUITA;1136;;
JUMIRIM;632;;
JUNDIAÍ;110703;;
JUNQUEIRÓPOLIS;6023;;
JUQUIÁ;5232;;
JUQUITIBA;6614;;
LAGOINHA;1649;;
LARANJAL PAULISTA;7816;;
LAVÍNIA;1445;;
LAVRINHAS;1270;;
LEME;22974;;
LENÇÓIS PAULISTA;14983;;
LIMEIRA;71470;;
LINDÓIA;1910;;
LINS;23814;;
LORENA;23376;;
LOURDES;788;;
LOUVEIRA;7264;;
LUCÉLIA;6054;;
LUCIANÓPOLIS;817;;
LUÍS ANTÔNIO;2407;;
LUIZIÂNIA;1290;;
LUPÉRCIO;1167;;
LUTÉCIA;872;;
MACATUBA;4077;;
MACAUBAL;2644;;
MACEDÔNIA;1230;;
MAGDA;1118;;
MAIRINQUE;10133;;
MAIRIPORÃ;18912;;
MANDURI;2439;;
MARABÁ PAULISTA;957;;
MARACAÍ;3433;;
MARAPOAMA;1027;;
MARIÁPOLIS;1039;;
MARÍLIA;77971;;
MARINÓPOLIS;663;;
MARTINÓPOLIS;6696;;
MATÃO;20996;;
MAUÁ;87582;;
MENDONÇA;1671;;
MERIDIANO;1212;;
MESÓPOLIS;653;;
MIGUELÓPOLIS;5324;;
MINEIROS DO TIETÊ;2961;;
MIRA ESTRELA;1068;;
MIRACATU;4723;;
MIRANDÓPOLIS;9109;;
MIRANTE DO PARANAPANEMA;5207;;
MIRASSOL;15478;;
MIRASSOLÂNDIA;1440;;
MOCOCA;20891;;
MOGI DAS CRUZES;97764;;
MOGI GUAÇU;37788;;
MOGI MIRIM;26170;;
MOMBUCA;910;;
MONÇÕES;823;;
MONGAGUÁ;14863;;
MONTE ALEGRE DO SUL;2240;;
MONTE ALTO;14434;;
MONTE APRAZÍVEL;7472;;
MONTE AZUL PAULISTA;5510;;
MONTE CASTELO;1421;;
MONTE MOR;10670;;
MONTEIRO LOBATO;1481;;
MORRO AGUDO;6676;;
MORUNGABA;3140;;
MOTUCA;1027;;
MURUTINGA DO SUL;1581;;
NANTES;631;;
NARANDIBA;1009;;
NATIVIDADE DA SERRA;2379;;
NAZARÉ PAULISTA;4270;;
NEVES PAULISTA;3295;;
NHANDEARA;3992;;
NIPOÃ;980;;
NOVA ALIANÇA;1964;;
NOVA CAMPINA;1433;;
NOVA CANAÃ PAULISTA;729;;
NOVA CASTILHO;381;;
NOVA EUROPA;2141;;
NOVA GRANADA;5227;;
NOVA GUATAPORANGA;719;;
NOVA INDEPENDÊNCIA;796;;
NOVA LUZITÂNIA;935;;
NOVA ODESSA;11858;;
NOVAIS;1005;;
NOVO HORIZONTE;10915;;
NUPORANGA;2102;;
OCAUÇU;1103;;
ÓLEO;862;;
OLÍMPIA;15686;;
ONDA VERDE;1116;;
ORIENTE;1933;;
ORINDIÚVA;1118;;
ORLÂNDIA;10286;;
OSASCO;151614;;
OSCAR BRESSANE;1190;;
OSVALDO CRUZ;10922;;
OURINHOS;31190;;
OURO VERDE;2758;;
OUROESTE;2694;;
PACAEMBU;3775;;
PALESTINA;3464;;
PALMARES PAULISTA;1678;;
PALMEIRA D'OESTE;3263;;
PALMITAL;7167;;
PANORAMA;3624;;
PARAGUAÇU PAULISTA;11171;;
PARAIBUNA;4567;;
PARAÍSO;1830;;
PARANAPANEMA;4237;;
PARANAPUÃ;1127;;
PARAPUÃ;3312;;
PARDINHO;1535;;
PARIQUERA-AÇU;6354;;
PARISI;792;;
PATROCÍNIO PAULISTA;3532;;
PAULICÉIA;1447;;
PAULÍNIA;20040;;
PAULISTÂNIA;519;;
PAULO DE FARIA;2566;;
PEDERNEIRAS;10223;;
PEDRA BELA;1642;;
PEDRANÓPOLIS;921;;
PEDREGULHO;4060;;
PEDREIRA;11630;;
PEDRINHAS PAULISTA;826;;
PEDRO DE TOLEDO;2762;;
PENÁPOLIS;19395;;
PEREIRA BARRETO;7365;;
PEREIRAS;1878;;
PERUÍBE;19564;;
PIACATU;1533;;
PIEDADE;12589;;
PILAR DO SUL;6694;;
PINDAMONHANGABA;37262;;
PINDORAMA;5149;;
PINHALZINHO;4219;;
PIQUEROBI;1298;;
PIQUETE;4155;;
PIRACAIA;6906;;
PIRACICABA;107596;;
PIRAJU;8667;;
PIRAJUÍ;7203;;
PIRANGI;3340;;
PIRAPORA DO BOM JESUS;3264;;
PIRAPOZINHO;6754;;
PIRASSUNUNGA;22321;;
PIRATININGA;4690;;
PITANGUEIRAS;7568;;
PLANALTO;1035;;
PLATINA;870;;
POÁ;23492;;
POLONI;1803;;
POMPÉIA;6620;;
PONGAÍ;1172;;
PONTAL;6506;;
PONTALINDA;939;;
PONTES GESTAL;727;;
POPULINA;1493;;
PORANGABA;2957;;
PORTO FELIZ;12105;;
PORTO FERREIRA;13509;;
POTIM;3783;;
POTIRENDABA;4942;;
PRACINHA;482;;
PRADÓPOLIS;3520;;
PRAIA GRANDE;78985;;
PRATÂNIA;957;;
PRESIDENTE ALVES;1324;;
PRESIDENTE BERNARDES;5346;;
PRESIDENTE EPITÁCIO;10422;;
PRESIDENTE PRUDENTE;73323;;
PRESIDENTE VENCESLAU;12819;;
PROMISSÃO;10025;;
QUADRA;830;;
QUATÁ;3254;;
QUEIROZ;740;;
QUELUZ;2560;;
QUINTANA;1854;;
RAFARD;2161;;
RANCHARIA;8223;;
REDENÇÃO DA SERRA;1057;;
REGENTE FEIJÓ;5025;;
REGINÓPOLIS;1716;;
REGISTRO;17456;;
RESTINGA;1389;;
RIBEIRA;999;;
RIBEIRÃO BONITO;2905;;
RIBEIRÃO BRANCO;3256;;
RIBEIRÃO CORRENTE;955;;
RIBEIRÃO DO SUL;1408;;
RIBEIRÃO DOS ÍNDIOS;917;;
RIBEIRÃO GRANDE;1746;;
RIBEIRÃO PIRES;31351;;
RIBEIRÃO PRETO;194183;;
RIFAINA;1087;;
RINCÃO;2603;;
RINÓPOLIS;2968;;
RIO CLARO;58267;;
RIO DAS PEDRAS;6196;;
RIO GRANDE DA SERRA;8527;;
RIOLÂNDIA;2308;;
RIVERSUL;1556;;
ROSANA;5257;;
ROSEIRA;2379;;
RUBIÁCEA;712;;
RUBINÉIA;1102;;
SABINO;1898;;
SAGRES;779;;
SALES;1833;;
SALES OLIVEIRA;3364;;
SALESÓPOLIS;3705;;
SALMOURÃO;1343;;
SALTINHO;2131;;
SALTO;26883;;
SALTO DE PIRAPORA;10660;;
SALTO GRANDE;2461;;
SANDOVALINA;950;;
SANTA ADÉLIA;4329;;
SANTA ALBERTINA;1992;;
SANTA BÁRBARA D'OESTE;42335;;
SANTA BRANCA;3994;;
SANTA CLARA D'OESTE;652;;
SANTA CRUZ DA CONCEIÇÃO;1449;;
SANTA CRUZ DA ESPERANÇA;646;;
SANTA CRUZ DAS PALMEIRAS;7170;;
SANTA CRUZ DO RIO PARDO;13826;;
SANTA ERNESTINA;1082;;
SANTA FÉ DO SUL;12252;;
SANTA GERTRUDES;4009;;
SANTA ISABEL;12096;;
SANTA LÚCIA;1660;;
SANTA MARIA DA SERRA;1380;;
SANTA MERCEDES;811;;
SANTA RITA DO PASSA QUATRO;9852;;
SANTA RITA D'OESTE;932;;
SANTA ROSA DE VITERBO;7041;;
SANTA SALETE;649;;
SANTANA DA PONTE PENSA;668;;
SANTANA DE PARNAÍBA;27060;;
SANTO ANASTÁCIO;6337;;
SANTO ANDRÉ;212941;;
SANTO ANTÔNIO DA ALEGRIA;2227;;
SANTO ANTÔNIO DE POSSE;4916;;
SANTO ANTÔNIO DO ARACANGUÁ;1940;;
SANTO ANTÔNIO DO JARDIM;1751;;
SANTO ANTÔNIO DO PINHAL;1672;;
SANTO EXPEDITO;1029;;
SANTÓPOLIS DO AGUAPEÍ;1083;;
SANTOS;180307;;
SÃO BENTO DO SAPUCAÍ;3228;;
SÃO BERNARDO DO CAMPO;203466;;
SÃO CAETANO DO SUL;72909;;
SÃO CARLOS;71241;;
SÃO FRANCISCO;1033;;
SÃO JOÃO DA BOA VISTA;31220;;
SÃO JOÃO DAS DUAS PONTES;703;;
SÃO JOÃO DE IRACEMA;644;;
SÃO JOÃO DO PAU D'ALHO;887;;
SÃO JOAQUIM DA BARRA;14205;;
SÃO JOSÉ DA BELA VISTA;1859;;
SÃO JOSÉ DO BARREIRO;1094;;
SÃO JOSÉ DO RIO PARDO;17743;;
SÃO JOSÉ DO RIO PRETO;144668;;
SÃO JOSÉ DOS CAMPOS;178073;;
SÃO LOURENÇO DA SERRA;3110;;
SÃO LUIZ DO PARAITINGA;2891;;
SÃO MANUEL;10134;;
SÃO MIGUEL ARCANJO;7107;;
SÃO PAULO;3362576;;
SÃO PEDRO;10328;;
SÃO PEDRO DO TURVO;1997;;
SÃO ROQUE;24355;;
SÃO SEBASTIÃO;16050;;
SÃO SEBASTIÃO DA GRAMA;3325;;
SÃO SIMÃO;4411;;
SÃO VICENTE;83916;;
SARAPUÍ;2076;;
SARUTAIÁ;1037;;
SEBASTIANÓPOLIS DO SUL;998;;
SERRA AZUL;2498;;
SERRA NEGRA;9320;;
SERRANA;8411;;
SERTÃOZINHO;27513;;
SETE BARRAS;3072;;
SEVERÍNIA;3307;;
SILVEIRAS;1639;;
SOCORRO;12826;;
SOROCABA;163283;;
SUD MENNUCCI;2168;;
SUMARÉ;51564;;
SUZANÁPOLIS;1000;;
SUZANO;57049;;
TABAPUÃ;3482;;
TABATINGA;3506;;
TABOÃO DA SERRA;59057;;
TACIBA;1541;;
TAGUAÍ;2562;;
TAIAÇU;1927;;
TAIÚVA;1998;;
TAMBAÚ;6256;;
TANABI;7879;;
TAPIRAÍ;1967;;
TAPIRATIBA;3495;;
TAQUARAL;790;;
TAQUARITINGA;17250;;
TAQUARITUBA;6049;;
TAQUARIVAÍ;994;;
TARABAI;1556;;
TARUMÃ;2743;;
TATUÍ;30031;;
TAUBATÉ;79768;;
TEJUPÁ;967;;
TEODORO SAMPAIO;4806;;
TERRA ROXA;2414;;
TIETÊ;10381;;
TIMBURI;883;;
TORRE DE PEDRA;805;;
TORRINHA;3078;;
TRABIJU;495;;
TREMEMBÉ;12204;;
TRÊS FRONTEIRAS;1972;;
TUIUTI;1978;;
TUPÃ;25197;;
TUPI PAULISTA;5680;;
TURIÚBA;744;;
TURMALINA;819;;
UBARANA;1123;;
UBATUBA;20160;;
UBIRAJARA;1271;;
UCHOA;3127;;
UNIÃO PAULISTA;461;;
URÂNIA;3171;;
URU;466;;
URUPÊS;4275;;
VALENTIM GENTIL;2767;;
VALINHOS;31436;;
VALPARAÍSO;6456;;
VARGEM;3099;;
VARGEM GRANDE DO SUL;11253;;
VARGEM GRANDE PAULISTA;10359;;
VÁRZEA PAULISTA;20360;;
VERA CRUZ;3477;;
VINHEDO;19696;;
VIRADOURO;4481;;
VISTA ALEGRE DO ALTO;1627;;
VITÓRIA BRASIL;557;;
VOTORANTIM;25614;;
VOTUPORANGA;32328;;
ZACARIAS;766;;
