Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
HERCULÂNDIA;2° Dose;206
HOLAMBRA;1° Dose;859
HOLAMBRA;2° Dose;302
HORTOLÂNDIA;1° Dose;9803
HORTOLÂNDIA;2° Dose;3674
IACANGA;1° Dose;1011
IACANGA;2° Dose;292
IACRI;1° Dose;547
IACRI;2° Dose;192
IARAS;1° Dose;392
IARAS;2° Dose;138
IBATÉ;1° Dose;1866
IBATÉ;2° Dose;549
IBIRÁ;1° Dose;1190
IBIRÁ;2° Dose;392
IBIRAREMA;1° Dose;652
IBIRAREMA;2° Dose;240
IBITINGA;1° Dose;4670
IBITINGA;2° Dose;1782
IBIÚNA;1° Dose;4644
IBIÚNA;2° Dose;1458
ICÉM;1° Dose;709
ICÉM;2° Dose;238
IEPÊ;1° Dose;877
IEPÊ;2° Dose;295
IGARAÇU DO TIETÊ;1° Dose;1091
IGARAÇU DO TIETÊ;2° Dose;307
IGARAPAVA;1° Dose;1921
IGARAPAVA;2° Dose;767
IGARATÁ;1° Dose;754
IGARATÁ;2° Dose;242
IGUAPE;1° Dose;2532
IGUAPE;2° Dose;738
ILHA COMPRIDA;1° Dose;809
ILHA COMPRIDA;2° Dose;224
ILHA SOLTEIRA;1° Dose;3014
ILHA SOLTEIRA;2° Dose;927
ILHABELA;1° Dose;2045
ILHABELA;2° Dose;926
INDAIATUBA;1° Dose;18193
INDAIATUBA;2° Dose;6165
INDIANA;1° Dose;457
INDIANA;2° Dose;146
INDIAPORÃ;1° Dose;528
INDIAPORÃ;2° Dose;157
INÚBIA PAULISTA;1° Dose;385
INÚBIA PAULISTA;2° Dose;134
IPAUSSU;1° Dose;1166
IPAUSSU;2° Dose;359
IPERÓ;1° Dose;1303
IPERÓ;2° Dose;408
IPEÚNA;1° Dose;378
IPEÚNA;2° Dose;122
IPIGUÁ;1° Dose;412
IPIGUÁ;2° Dose;110
IPORANGA;1° Dose;548
IPORANGA;2° Dose;371
IPUÃ;1° Dose;968
IPUÃ;2° Dose;347
IRACEMÁPOLIS;1° Dose;1436
IRACEMÁPOLIS;2° Dose;514
IRAPUÃ;1° Dose;596
IRAPUÃ;2° Dose;218
IRAPURU;1° Dose;744
IRAPURU;2° Dose;185
ITABERÁ;1° Dose;1246
ITABERÁ;2° Dose;365
ITAÍ;1° Dose;1684
ITAÍ;2° Dose;483
ITAJOBI;1° Dose;1299
ITAJOBI;2° Dose;429
ITAJU;1° Dose;293
ITAJU;2° Dose;95
ITANHAÉM;1° Dose;7509
ITANHAÉM;2° Dose;2843
ITAOCA;1° Dose;362
ITAOCA;2° Dose;201
ITAPECERICA DA SERRA;1° Dose;7739
ITAPECERICA DA SERRA;2° Dose;3410
ITAPETININGA;1° Dose;13305
ITAPETININGA;2° Dose;4934
ITAPEVA;1° Dose;7015
ITAPEVA;2° Dose;2368
ITAPEVI;1° Dose;7848
ITAPEVI;2° Dose;2781
ITAPIRA;1° Dose;5399
ITAPIRA;2° Dose;1887
ITAPIRAPUÃ PAULISTA;1° Dose;215
ITAPIRAPUÃ PAULISTA;2° Dose;76
ITÁPOLIS;1° Dose;3608
ITÁPOLIS;2° Dose;1301
ITAPORANGA;1° Dose;1209
ITAPORANGA;2° Dose;398
ITAPUÍ;1° Dose;999
ITAPUÍ;2° Dose;319
ITAPURA;1° Dose;359
ITAPURA;2° Dose;128
ITAQUAQUECETUBA;1° Dose;9066
ITAQUAQUECETUBA;2° Dose;3282
