Ds Município;Dose;Contagem de Id Vacinacao
EMBU DAS ARTES;2° Dose;4079
EMBU-GUAÇU;1° Dose;4664
EMBU-GUAÇU;2° Dose;1559
EMILIANÓPOLIS;1° Dose;366
EMILIANÓPOLIS;2° Dose;110
ENGENHEIRO COELHO;1° Dose;1054
ENGENHEIRO COELHO;2° Dose;365
ESPÍRITO SANTO DO PINHAL;1° Dose;4677
ESPÍRITO SANTO DO PINHAL;2° Dose;1606
ESPÍRITO SANTO DO TURVO;1° Dose;262
ESPÍRITO SANTO DO TURVO;2° Dose;80
ESTIVA GERBI;1° Dose;469
ESTIVA GERBI;2° Dose;151
ESTRELA DO NORTE;1° Dose;242
ESTRELA DO NORTE;2° Dose;69
ESTRELA D'OESTE;1° Dose;1030
ESTRELA D'OESTE;2° Dose;340
EUCLIDES DA CUNHA PAULISTA;1° Dose;685
EUCLIDES DA CUNHA PAULISTA;2° Dose;214
FARTURA;1° Dose;1704
FARTURA;2° Dose;516
FERNANDO PRESTES;1° Dose;741
FERNANDO PRESTES;2° Dose;213
FERNANDÓPOLIS;1° Dose;9475
FERNANDÓPOLIS;2° Dose;3083
FERNÃO;1° Dose;222
FERNÃO;2° Dose;58
FERRAZ DE VASCONCELOS;1° Dose;7551
FERRAZ DE VASCONCELOS;2° Dose;3136
FLORA RICA;1° Dose;343
FLORA RICA;2° Dose;96
FLOREAL;1° Dose;474
FLOREAL;2° Dose;112
FLÓRIDA PAULISTA;1° Dose;1139
FLÓRIDA PAULISTA;2° Dose;395
FLORÍNEA;1° Dose;277
FLORÍNEA;2° Dose;114
FRANCA;1° Dose;23190
FRANCA;2° Dose;7025
FRANCISCO MORATO;1° Dose;7616
FRANCISCO MORATO;2° Dose;2695
FRANCO DA ROCHA;1° Dose;9984
FRANCO DA ROCHA;2° Dose;3343
GABRIEL MONTEIRO;1° Dose;269
GABRIEL MONTEIRO;2° Dose;62
GÁLIA;1° Dose;751
GÁLIA;2° Dose;307
GARÇA;1° Dose;4399
GARÇA;2° Dose;1520
GASTÃO VIDIGAL;1° Dose;394
GASTÃO VIDIGAL;2° Dose;110
GAVIÃO PEIXOTO;1° Dose;378
GAVIÃO PEIXOTO;2° Dose;115
GENERAL SALGADO;1° Dose;1293
GENERAL SALGADO;2° Dose;452
GETULINA;1° Dose;906
GETULINA;2° Dose;266
GLICÉRIO;1° Dose;412
GLICÉRIO;2° Dose;142
GUAIÇARA;1° Dose;735
GUAIÇARA;2° Dose;204
GUAIMBÊ;1° Dose;553
GUAIMBÊ;2° Dose;173
GUAÍRA;1° Dose;3146
GUAÍRA;2° Dose;977
GUAPIAÇU;1° Dose;1574
GUAPIAÇU;2° Dose;512
GUAPIARA;1° Dose;1035
GUAPIARA;2° Dose;336
GUARÁ;1° Dose;1858
GUARÁ;2° Dose;633
GUARAÇAÍ;1° Dose;979
GUARAÇAÍ;2° Dose;317
GUARACI;1° Dose;904
GUARACI;2° Dose;298
GUARANI D'OESTE;1° Dose;227
GUARANI D'OESTE;2° Dose;56
GUARANTÃ;1° Dose;550
GUARANTÃ;2° Dose;186
GUARARAPES;1° Dose;2965
GUARARAPES;2° Dose;845
GUARAREMA;1° Dose;2144
GUARAREMA;2° Dose;725
GUARATINGUETÁ;1° Dose;9921
