Municipio;Dose;Contagem de Id Vacinacao
EMILIANÓPOLIS;1° Dose;128
EMILIANÓPOLIS;2° Dose;29
ENGENHEIRO COELHO;1° Dose;508
ENGENHEIRO COELHO;2° Dose;164
ESPÍRITO SANTO DO PINHAL;1° Dose;2178
ESPÍRITO SANTO DO PINHAL;2° Dose;567
ESPÍRITO SANTO DO TURVO;1° Dose;108
ESPÍRITO SANTO DO TURVO;2° Dose;36
ESTIVA GERBI;1° Dose;214
ESTIVA GERBI;2° Dose;38
ESTRELA DO NORTE;1° Dose;98
ESTRELA DO NORTE;2° Dose;31
ESTRELA D'OESTE;1° Dose;432
ESTRELA D'OESTE;2° Dose;126
EUCLIDES DA CUNHA PAULISTA;1° Dose;290
EUCLIDES DA CUNHA PAULISTA;2° Dose;72
FARTURA;1° Dose;713
FARTURA;2° Dose;229
FERNANDO PRESTES;1° Dose;290
FERNANDO PRESTES;2° Dose;89
FERNANDÓPOLIS;1° Dose;4512
FERNANDÓPOLIS;2° Dose;1192
FERNÃO;1° Dose;91
FERNÃO;2° Dose;42
FERRAZ DE VASCONCELOS;1° Dose;4481
FERRAZ DE VASCONCELOS;2° Dose;1445
FLORA RICA;1° Dose;120
FLORA RICA;2° Dose;23
FLOREAL;1° Dose;173
FLOREAL;2° Dose;45
FLÓRIDA PAULISTA;1° Dose;503
FLÓRIDA PAULISTA;2° Dose;127
FLORÍNEA;1° Dose;149
FLORÍNEA;2° Dose;36
FRANCA;1° Dose;9459
FRANCA;2° Dose;2865
FRANCISCO MORATO;1° Dose;3126
FRANCISCO MORATO;2° Dose;1152
FRANCO DA ROCHA;1° Dose;4976
FRANCO DA ROCHA;2° Dose;1756
GABRIEL MONTEIRO;1° Dose;77
GABRIEL MONTEIRO;2° Dose;27
GÁLIA;1° Dose;408
GÁLIA;2° Dose;103
GARÇA;1° Dose;2117
GARÇA;2° Dose;533
GASTÃO VIDIGAL;1° Dose;155
GASTÃO VIDIGAL;2° Dose;38
GAVIÃO PEIXOTO;1° Dose;160
GAVIÃO PEIXOTO;2° Dose;46
GENERAL SALGADO;1° Dose;665
GENERAL SALGADO;2° Dose;195
GETULINA;1° Dose;352
GETULINA;2° Dose;100
GLICÉRIO;1° Dose;176
GLICÉRIO;2° Dose;40
GUAIÇARA;1° Dose;290
GUAIÇARA;2° Dose;83
GUAIMBÊ;1° Dose;253
GUAIMBÊ;2° Dose;77
GUAÍRA;1° Dose;1356
GUAÍRA;2° Dose;383
GUAPIAÇU;1° Dose;741
GUAPIAÇU;2° Dose;221
GUAPIARA;1° Dose;472
GUAPIARA;2° Dose;118
GUARÁ;1° Dose;912
GUARÁ;2° Dose;257
GUARAÇAÍ;1° Dose;399
GUARAÇAÍ;2° Dose;86
GUARACI;1° Dose;416
GUARACI;2° Dose;143
GUARANI D'OESTE;1° Dose;78
GUARANI D'OESTE;2° Dose;18
GUARANTÃ;1° Dose;251
GUARANTÃ;2° Dose;76
GUARARAPES;1° Dose;1111
GUARARAPES;2° Dose;242
GUARAREMA;1° Dose;963
GUARAREMA;2° Dose;276
GUARATINGUETÁ;1° Dose;5217
GUARATINGUETÁ;2° Dose;1027
GUAREÍ;1° Dose;409
GUAREÍ;2° Dose;122
GUARIBA;1° Dose;893
GUARIBA;2° Dose;278
GUARUJÁ;1° Dose;9487
GUARUJÁ;2° Dose;1717
GUARULHOS;1° Dose;38056
GUARULHOS;2° Dose;5994
GUATAPARÁ;1° Dose;191
GUATAPARÁ;2° Dose;52
GUZOLÂNDIA;1° Dose;136
GUZOLÂNDIA;2° Dose;30
HERCULÂNDIA;1° Dose;324
HERCULÂNDIA;2° Dose;102
HOLAMBRA;1° Dose;417
HOLAMBRA;2° Dose;113
HORTOLÂNDIA;1° Dose;5180
HORTOLÂNDIA;2° Dose;1171
IACANGA;1° Dose;404
IACANGA;2° Dose;164
IACRI;1° Dose;207
IACRI;2° Dose;62
IARAS;1° Dose;194
IARAS;2° Dose;56
IBATÉ;1° Dose;755
IBATÉ;2° Dose;239
IBIRÁ;1° Dose;378
IBIRÁ;2° Dose;116
IBIRAREMA;1° Dose;318
IBIRAREMA;2° Dose;82
IBITINGA;1° Dose;2446
IBITINGA;2° Dose;701
IBIÚNA;1° Dose;1209
IBIÚNA;2° Dose;139
ICÉM;1° Dose;330
ICÉM;2° Dose;104
IEPÊ;1° Dose;382
IEPÊ;2° Dose;94
IGARAÇU DO TIETÊ;1° Dose;563
IGARAÇU DO TIETÊ;2° Dose;154
IGARAPAVA;1° Dose;929
IGARAPAVA;2° Dose;183
IGARATÁ;1° Dose;348
IGARATÁ;2° Dose;109
IGUAPE;1° Dose;914
IGUAPE;2° Dose;251
