mun_id;mun_desc;ano;populacao
3532827;Nova Campina;2021;9.787
3532843;Nova Canaã Paulista;2021;1.921
3532868;Nova Castilho;2021;1.180
3532900;Nova Europa;2021;10.863
3533007;Nova Granada;2021;21.054
3533106;Nova Guataporanga;2021;2.192
3533205;Nova Independência;2021;3.774
3533304;Nova Luzitânia;2021;4.083
3533403;Nova Odessa;2021;58.490
3533254;Novais;2021;5.575
3533502;Novo Horizonte;2021;39.124
3533601;Nuporanga;2021;7.297
3533700;Ocauçu;2021;4.143
3533809;Óleo;2021;2.517
3533908;Olímpia;2021;52.670
3534005;Onda Verde;2021;4.250
3534104;Oriente;2021;6.275
3534203;Orindiúva;2021;6.951
3534302;Orlândia;2021;42.436
3534401;Osasco;2021;682.876
3534500;Oscar Bressane;2021;2.508
3534609;Osvaldo Cruz;2021;31.256
3534708;Ourinhos;2021;111.039
3534807;Ouro Verde;2021;8.306
3534757;Ouroeste;2021;9.871
3534906;Pacaembu;2021;13.041
3535002;Palestina;2021;12.220
3535101;Palmares Paulista;2021;13.154
3535200;Palmeira d'Oeste;2021;9.092
3535309;Palmital;2021;21.609
3535408;Panorama;2021;15.253
3535507;Paraguaçu Paulista;2021;44.310
3535606;Paraibuna;2021;18.304
3535705;Paraíso;2021;6.293
3535804;Paranapanema;2021;20.151
3535903;Paranapuã;2021;3.895
3536000;Parapuã;2021;10.473
3536109;Pardinho;2021;6.467
3536208;Pariquera-Açu;2021;19.311
3536257;Parisi;2021;2.053
3536307;Patrocínio Paulista;2021;14.592
3536406;Paulicéia;2021;7.213
3536505;Paulínia;2021;106.781
3536570;Paulistânia;2021;1.769
3536604;Paulo de Faria;2021;8.520
3536703;Pederneiras;2021;45.877
3536802;Pedra Bela;2021;5.974
3536901;Pedranópolis;2021;2.412
3537008;Pedregulho;2021;16.319
3537107;Pedreira;2021;46.908
3537156;Pedrinhas Paulista;2021;3.015
3537206;Pedro de Toledo;2021;11.055
3537305;Penápolis;2021;60.902
3537404;Pereira Barreto;2021;25.411
3537503;Pereiras;2021;8.507
3537602;Peruíbe;2021;66.747
3537701;Piacatu;2021;5.936
3537800;Piedade;2021;53.656
3537909;Pilar do Sul;2021;28.355
3538006;Pindamonhangaba;2021;164.753
3538105;Pindorama;2021;16.331
3538204;Pinhalzinho;2021;14.877
3538303;Piquerobi;2021;3.532
3538501;Piquete;2021;13.621
3538600;Piracaia;2021;26.379
3538709;Piracicaba;2021;391.464
3538808;Piraju;2021;28.552
3538907;Pirajuí;2021;23.274
3539004;Pirangi;2021;10.825
3539103;Pirapora do Bom Jesus;2021;19.139
3539202;Pirapozinho;2021;27.425
3539301;Pirassununga;2021;73.921
3539400;Piratininga;2021;13.305
3539509;Pitangueiras;2021;38.852
3539608;Planalto;2021;5.221
3539707;Platina;2021;3.528
3539806;Poá;2021;116.289
3539905;Poloni;2021;5.681
3540002;Pompéia;2021;21.384
3540101;Pongaí;2021;3.340
3540200;Pontal;2021;49.889
3540259;Pontalinda;2021;4.515
3540309;Pontes Gestal;2021;2.530
3540408;Populina;2021;3.977
3540507;Porangaba;2021;9.380
3540606;Porto Feliz;2021;51.907
3540705;Porto Ferreira;2021;54.274
3540754;Potim;2021;20.815
3540804;Potirendaba;2021;16.677
3540853;Pracinha;2021;2.921
3540903;Pradópolis;2021;21.167
3541000;Praia Grande;2021;321.008
3541059;Pratânia;2021;5.210
3541109;Presidente Alves;2021;4.011
3541208;Presidente Bernardes;2021;13.713
3541307;Presidente Epitácio;2021;42.484
3541406;Presidente Prudente;2021;221.938
3541505;Presidente Venceslau;2021;37.981
3541604;Promissão;2021;40.001
3541653;Quadra;2021;3.745
3541703;Quatá;2021;14.025
3541802;Queiroz;2021;3.319
3541901;Queluz;2021;12.735
3542008;Quintana;2021;6.539
3542107;Rafard;2021;9.014
3542206;Rancharia;2021;28.855
3542305;Redenção da Serra;2021;3.834
3542404;Regente Feijó;2021;19.556
3542503;Reginópolis;2021;7.204
3542602;Registro;2021;54.270
3542701;Restinga;2021;7.575
3542800;Ribeira;2021;3.240
3542909;Ribeirão Bonito;2021;13.033
3543006;Ribeirão Branco;2021;17.683
3543105;Ribeirão Corrente;2021;4.698
3543204;Ribeirão do Sul;2021;4.351
3543238;Ribeirão dos Índios;2021;2.135
3543253;Ribeirão Grande;2021;7.515
3543303;Ribeirão Pires;2021;119.339
3543402;Ribeirão Preto;2021;688.894
3543600;Rifaina;2021;3.470
3543709;Rincão;2021;10.506
3543808;Rinópolis;2021;9.700
3543907;Rio Claro;2021;202.289
3544004;Rio das Pedras;2021;34.768
3544103;Rio Grande da Serra;2021;50.313
3544202;Riolândia;2021;11.501
3543501;Riversul;2021;5.686
3544251;Rosana;2021;18.320
3544301;Roseira;2021;10.723
3544400;Rubiácea;2021;3.138
3544509;Rubinéia;2021;2.996
3544608;Sabino;2021;5.485
3544707;Sagres;2021;2.362
3544806;Sales;2021;6.082
3544905;Sales Oliveira;2021;11.580
3545001;Salesópolis;2021;16.945
3545100;Salmourão;2021;5.138
3545159;Saltinho;2021;7.898
3545209;Salto;2021;116.089
3545308;Salto de Pirapora;2021;44.522
3545407;Salto Grande;2021;9.125
3545506;Sandovalina;2021;4.257
3545605;Santa Adélia;2021;14.929
3545704;Santa Albertina;2021;5.657
3545803;Santa Bárbara d'Oeste;2021;189.330
3546009;Santa Branca;2021;14.212
3546108;Santa Clara d'Oeste;2021;1.998
3546207;Santa Cruz da Conceição;2021;4.372
3546256;Santa Cruz da Esperança;2021;2.086
3546306;Santa Cruz das Palmeiras;2021;34.031
3546405;Santa Cruz do Rio Pardo;2021;46.276
3546504;Santa Ernestina;2021;5.527
3546603;Santa Fé do Sul;2021;30.897
3546702;Santa Gertrudes;2021;26.572
3546801;Santa Isabel;2021;55.436
3546900;Santa Lúcia;2021;8.590
3547007;Santa Maria da Serra;2021;6.208
3547106;Santa Mercedes;2021;2.814
3547502;Santa Rita do Passa Quatro;2021;26.355
3547403;Santa Rita d'Oeste;2021;2.389
3547601;Santa Rosa de Viterbo;2021;25.732
3547650;Santa Salete;2021;1.438
3547205;Santana da Ponte Pensa;2021;1.497
3547304;Santana de Parnaíba;2021;140.616
3547700;Santo Anastácio;2021;20.106
3547809;Santo André;2021;694.681
3547908;Santo Antônio da Alegria;2021;6.661
3548005;Santo Antônio de Posse;2021;23.027
3548054;Santo Antônio do Aracanguá;2021;8.297
3548104;Santo Antônio do Jardim;2021;5.823
3548203;Santo Antônio do Pinhal;2021;6.643
3548302;Santo Expedito;2021;2.986
3548401;Santópolis do Aguapeí;2021;4.698
3548500;Santos;2021;429.513
3548609;São Bento do Sapucaí;2021;10.539
3548708;São Bernardo do Campo;2021;815.109
3548807;São Caetano do Sul;2021;151.111
3548906;São Carlos;2021;244.036
3549003;São Francisco;2021;2.667
3549102;São João da Boa Vista;2021;87.537
3549201;São João das Duas Pontes;2021;2.466
3549250;São João de Iracema;2021;1.853
3549300;São João do Pau d'Alho;2021;1.973
3549409;São Joaquim da Barra;2021;50.553
3549508;São José da Bela Vista;2021;8.762
3549607;São José do Barreiro;2021;4.073
3549706;São José do Rio Pardo;2021;53.277
3549805;São José do Rio Preto;2021;450.361
3549904;São José dos Campos;2021;716.688
3549953;São Lourenço da Serra;2021;15.721
3550001;São Luiz do Paraitinga;2021;10.584
3550100;São Manuel;2021;39.678
3550209;São Miguel Arcanjo;2021;32.115
3550308;São Paulo;2021;11.914.851
3550407;São Pedro;2021;34.408
3550506;São Pedro do Turvo;2021;7.389
3550605;São Roque;2021;88.032
3550704;São Sebastião;2021;88.156
3550803;São Sebastião da Grama;2021;11.929
3550902;São Simão;2021;14.891
3551009;São Vicente;2021;360.262
3551108;Sarapuí;2021;10.206
3551207;Sarutaiá;2021;3.652
3551306;Sebastianópolis do Sul;2021;3.304
3551405;Serra Azul;2021;12.381
3551603;Serra Negra;2021;27.486
3551504;Serrana;2021;44.870
3551702;Sertãozinho;2021;123.148
3551801;Sete Barras;2021;12.643
3551900;Severínia;2021;17.263
3552007;Silveiras;2021;6.240
3552106;Socorro;2021;38.896
3552205;Sorocaba;2021;663.739
3552304;Sud Mennucci;2021;7.728
3552403;Sumaré;2021;286.462
3552551;Suzanápolis;2021;3.990
3552502;Suzano;2021;293.464
3552601;Tabapuã;2021;11.918
