Paraíba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;4202839;2009703;2193136;40539;48086;-0.27;9.65;11.44;78.84;75.44;82.16;8.99;9.16;8.81;1.65;24.39;34.87;59.26;143.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;4190189;2003273;2186916;40200;48849;-0.3;9.59;11.66;78.9;75.52;82.21;8.97;9.15;8.8;1.65;24.37;35.83;60.2;147.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;4176432;1996343;2180089;39839;49600;-0.33;9.54;11.88;78.96;75.6;82.25;8.96;9.14;8.79;1.65;24.36;36.77;61.13;150.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;4161539;1988900;2172639;39411;50331;-0.36;9.47;12.09;79.02;75.67;82.3;8.95;9.13;8.78;1.64;24.36;37.69;62.05;155.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;4145474;1980924;2164550;38943;51049;-0.39;9.39;12.31;79.07;75.74;82.34;8.95;9.12;8.77;1.64;24.35;38.59;62.94;159.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;4128245;1972421;2155824;38495;51744;-0.42;9.32;12.53;79.12;75.8;82.38;8.94;9.11;8.77;1.64;24.36;39.47;63.82;161.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;4109898;1963415;2146483;38067;52408;-0.44;9.26;12.75;79.17;75.86;82.42;8.93;9.1;8.76;1.64;24.36;40.33;64.69;165.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;4090459;1953919;2136540;37620;53052;-0.47;9.2;12.97;79.21;75.92;82.45;8.93;9.1;8.75;1.64;24.37;41.19;65.56;169.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;4069934;1943935;2125999;37153;53666;-0.5;9.13;13.19;79.26;75.98;82.49;8.93;9.09;8.75;1.64;24.37;42.03;66.41;173.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;4048336;1933467;2114869;36674;54254;-0.53;9.06;13.4;79.3;76.04;82.52;8.93;9.09;8.74;1.64;24.38;42.86;67.24;175.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
