Mato Grosso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75-79;27202;28668;30281;31961;33606;35164;36694;38213;39796;41533;43484;45635;47974;50505;53242;56182;59327;62685;66242;69997;73945;78053;82300;86681;91162;95711;100317;104959;109569;114047;118343;122472;126465;130284;133898;137300;140497;143440;146366;149592;153301;157421;161966;166679;171221;175374;179204;182787;186054;188957;191452
80-84;15248;16057;16889;17771;18736;19798;20950;22221;23542;24844;26085;27310;28538;29826;31232;32808;34537;36419;38453;40651;43013;45538;48234;51091;54112;57286;60596;64022;67563;71189;74876;78618;82398;86155;89816;93334;96729;100030;103194;106202;109039;111716;114195;116671;119395;122508;125952;129723;133618;137369;140801
85-89;6794;7299;7788;8282;8790;9317;9867;10438;11050;11719;12452;13246;14125;15040;15942;16806;17670;18545;19475;20483;21604;22836;24178;25626;27189;28871;30668;32590;34625;36782;39046;41413;43865;46407;49016;51675;54379;57111;59839;62501;65068;67557;69990;72334;74569;76682;78686;80555;82437;84501;86853
90+;4017;4105;4293;4537;4810;5092;5403;5756;6141;6547;6968;7418;7902;8426;8997;9608;10268;10994;11758;12540;13325;14135;14990;15900;16868;17899;19010;20204;21488;22866;24348;25934;27637;29447;31376;33420;35575;37843;40216;42690;45253;47902;50627;53406;56200;58987;61775;64582;67368;70104;72764
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;1586508;1605262;1624000;1643522;1664325;1685970;1706243;1726185;1746832;1767091;1786977;1806477;1825538;1844116;1862207;1879817;1896922;1913489;1929513;1945026;1960062;1974630;1988728;2002370;2015580;2028367;2040729;2052660;2064168;2075248;2085887;2096085;2105857;2115207;2124115;2132555;2140532;2148070;2155169;2161797;2167929;2173583;2178784;2183519;2187763;2191498;2194736;2197503;2199798;2201617;2202964
0-4;136316;133764;132700;132948;134261;137106;139766;142146;144483;145187;144709;145247;145714;145035;144297;143491;142607;141665;140709;139774;138893;138070;137316;136650;136063;135527;135051;134658;134337;134051;133774;133508;133264;133040;132810;132562;132297;132016;131708;131363;130973;130551;130093;129585;129027;128424;127766;127050;126290;125500;124704
05/set;137753;138714;138966;138741;138393;136642;134097;133032;133273;134575;137409;140064;142438;144768;145469;144988;145520;145985;145303;144563;143753;142865;141922;140966;140031;139154;138340;137592;136931;136351;135821;135348;134960;134642;134361;134090;133827;133587;133366;133138;132897;132634;132355;132050;131708;131321;130904;130450;129943;129387;128786
out/14;146100;144094;141415;138987;137468;137395;138364;138622;138403;138065;136322;133786;132731;132977;134283;137118;139776;142150;144483;145190;144714;145251;145721;145043;144308;143501;142617;141680;140727;139797;138923;138112;137370;136712;136134;135606;135137;134750;134435;134155;133887;133628;133389;133169;132944;132704;132442;132165;131861;131522;131137
