Amazonas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;4207714;2112128;2095586;82049;22688;1.52;19.5;5.39;72.81;69.47;76.48;16.26;18.17;14.25;2.22;43.43;7.61;51.04;17.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;4269995;2142533;2127462;81713;23100;1.48;19.14;5.41;73.02;69.67;76.71;15.85;17.74;13.85;2.19;42.69;7.83;50.52;18.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;4331430;2172473;2158957;81331;23545;1.44;18.78;5.44;73.23;69.86;76.92;15.46;17.34;13.48;2.17;41.95;8.06;50.01;19.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;4391960;2201917;2190043;80935;24015;1.4;18.43;5.47;73.42;70.05;77.13;15.11;16.97;13.14;2.15;41.21;8.31;49.52;20.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;4451551;2230851;2220700;80526;24503;1.36;18.09;5.5;73.62;70.23;77.33;14.77;16.62;12.82;2.12;40.47;8.57;49.03;20.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;4510151;2259251;2250900;80066;25010;1.32;17.75;5.55;73.81;70.41;77.53;14.45;16.29;12.52;2.1;39.83;8.84;48.67;22.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;4567703;2287087;2280616;79589;25546;1.28;17.42;5.59;73.99;70.59;77.72;14.16;15.99;12.24;2.08;39.24;9.13;48.37;23.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;4624211;2314364;2309847;79194;26106;1.24;17.13;5.65;74.17;70.76;77.9;13.89;15.7;11.98;2.06;38.59;9.43;48.03;24.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;4679714;2341102;2338612;78847;26697;1.2;16.85;5.7;74.34;70.93;78.07;13.64;15.44;11.74;2.05;37.92;9.74;47.66;25.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;4734251;2367321;2366930;78576;27306;1.17;16.6;5.77;74.51;71.09;78.24;13.4;15.19;11.52;2.03;37.21;10.05;47.26;26.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;4787816;2393017;2394799;78271;27946;1.13;16.35;5.84;74.67;71.25;78.4;13.18;14.96;11.31;2.01;36.51;10.38;46.88;28.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;4840312;2418147;2422165;77800;28609;1.1;16.07;5.91;74.83;71.41;78.56;12.98;14.74;11.12;2;35.96;10.72;46.69;29.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;4891675;2442685;2448990;77361;29302;1.06;15.81;5.99;74.98;71.56;78.71;12.79;14.54;10.94;1.98;35.45;11.08;46.53;31.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;4941934;2466644;2475290;77010;30026;1.03;15.58;6.08;75.13;71.71;78.85;12.61;14.35;10.78;1.97;34.88;11.45;46.33;32.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;4991129;2490045;2501084;76702;30771;1;15.37;6.17;75.28;71.85;78.99;12.44;14.17;10.63;1.96;34.34;11.84;46.18;34.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;5039255;2512888;2526367;76389;31544;0.96;15.16;6.26;75.42;71.99;79.12;12.29;14.01;10.49;1.95;33.84;12.24;46.08;36.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;5086236;2535138;2551098;75978;32336;0.93;14.94;6.36;75.55;72.13;79.25;12.15;13.85;10.36;1.93;33.36;12.65;46.01;38.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;5132009;2556764;2575245;75577;33149;0.9;14.73;6.46;75.69;72.26;79.37;12.01;13.71;10.23;1.92;32.91;13.08;45.99;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;5176569;2577766;2598803;75212;33997;0.87;14.53;6.57;75.81;72.39;79.49;11.89;13.57;10.12;1.91;32.48;13.52;46;41.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;5219919;2598148;2621771;74871;34863;0.84;14.34;6.68;75.93;72.52;79.6;11.78;13.45;10.02;1.9;32.08;14;46.07;43.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;5262059;2617912;2644147;74546;35750;0.81;14.17;6.79;76.06;72.64;79.71;11.67;13.33;9.92;1.89;31.7;14.5;46.21;45.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;5302957;2637046;2665911;74187;36662;0.78;13.99;6.91;76.17;72.76;79.82;11.57;13.22;9.84;1.89;31.36;15.04;46.4;48.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;5342574;2655533;2687041;73836;37604;0.75;13.82;7.04;76.28;72.88;79.92;11.48;13.12;9.75;1.88;31.04;15.61;46.65;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;5380889;2673365;2707524;73485;38563;0.72;13.66;7.17;76.39;72.99;80.02;11.39;13.02;9.68;1.87;30.74;16.2;46.94;52.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;5417887;2690535;2727352;73136;39539;0.69;13.5;7.3;76.5;73.1;80.11;11.31;12.93;9.61;1.86;30.46;16.81;47.27;55.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;5453552;2707036;2746516;72792;40536;0.66;13.35;7.43;76.6;73.21;80.2;11.24;12.84;9.54;1.86;30.2;17.43;47.62;57.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;5487876;2722870;2765006;72466;41550;0.63;13.2;7.57;76.69;73.32;80.28;11.17;12.76;9.48;1.85;29.95;18.06;48.01;60.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;5520840;2738030;2782810;72115;42579;0.6;13.06;7.71;76.79;73.42;80.36;11.1;12.69;9.43;1.84;29.72;18.71;48.42;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;5552396;2752493;2799903;71722;43622;0.57;12.92;7.86;76.88;73.51;80.44;11.04;12.62;9.38;1.84;29.5;19.36;48.86;65.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;5582496;2766236;2816260;71305;44680;0.54;12.77;8;76.97;73.61;80.52;10.98;12.55;9.33;1.83;29.29;20;49.29;68.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;5611125;2779255;2831870;70911;45755;0.51;12.64;8.15;77.05;73.7;80.59;10.93;12.49;9.29;1.83;29.08;20.63;49.71;71.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;5638304;2791563;2846741;70568;46843;0.48;12.52;8.31;77.14;73.79;80.66;10.88;12.43;9.25;1.82;28.88;21.24;50.12;73.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;5664036;2803163;2860873;70204;47942;0.46;12.39;8.46;77.22;73.88;80.72;10.83;12.37;9.21;1.82;28.69;21.84;50.53;75.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;5688278;2814038;2874240;69798;49052;0.43;12.27;8.62;77.29;73.96;80.78;10.79;12.32;9.18;1.82;28.51;22.43;50.94;78.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;5710995;2824174;2886821;69373;50160;0.4;12.15;8.78;77.37;74.05;80.85;10.75;12.27;9.15;1.81;28.33;23.02;51.35;81.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;5732178;2833571;2898607;68954;51277;0.37;12.03;8.95;77.44;74.13;80.9;10.71;12.22;9.12;1.81;28.16;23.61;51.78;83.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;5751847;2842241;2909606;68586;52399;0.34;11.92;9.11;77.51;74.2;80.96;10.68;12.18;9.09;1.8;28;24.2;52.21;86.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;5770028;2850198;2919830;68218;53520;0.32;11.82;9.28;77.57;74.28;81.01;10.64;12.14;9.07;1.8;27.85;24.79;52.65;89.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;5786706;2857439;2929267;67825;54643;0.29;11.72;9.44;77.64;74.35;81.06;10.61;12.1;9.04;1.8;27.71;25.39;53.1;91.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;5801873;2863966;2937907;67431;55756;0.26;11.62;9.61;77.7;74.42;81.11;10.58;12.06;9.02;1.8;27.58;26;53.58;93.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;5815537;2869789;2945748;67046;56868;0.24;11.53;9.78;77.76;74.49;81.16;10.55;12.02;9;1.79;27.46;26.65;54.11;97.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;3553148;3618040;3684326;3751293;3819636;3887740;3952171;4015812;4080611;4144597;4207714;4269995;4331430;4391960;4451551;4510151;4567703;4624211;4679714;4734251;4787816;4840312;4891675;4941934;4991129;5039255;5086236;5132009;5176569;5219919;5262059;5302957;5342574;5380889;5417887;5453552;5487876;5520840;5552396;5582496;5611125;5638304;5664036;5688278;5710995;5732178;5751847;5770028;5786706;5801873;5815537
0-4;401044;400499;401135;402072;404171;408138;409533;408846;408742;406547;403816;404001;404232;402508;400757;398988;397110;395147;393196;391328;389595;387931;386242;384520;382775;381000;379243;377533;375832;374100;372342;370601;368905;367235;365567;363883;362199;360533;358844;357096;355287;353446;351588;349716;347831;345929;343998;342055;340115;338194;336308
05/set;389220;386900;387963;391512;397358;399759;399254;399915;400870;402987;406968;408397;407743;407663;405494;402786;402997;403251;401548;399819;398072;396218;394274;392344;390494;388779;387137;385466;383759;382032;380272;378532;376837;375151;373434;371687;369964;368278;366615;364963;363290;361618;359961;358284;356544;354744;352916;351068;349204;347330;345433
out/14;405489;407597;404782;399140;392271;388591;386290;387365;390922;396768;399177;398684;399352;400318;402443;406427;407862;407217;407144;404988;402293;402509;402775;401084;399369;397635;395793;393861;391945;390102;388401;386766;385104;383408;381686;379937;378205;376518;374841;373132;371393;369675;368000;366340;364696;363029;361363;359708;358038;356304;354512
15-19;369404;377108;386130;395071;401776;404985;407089;404293;398681;391850;388197;385927;387014;390562;396386;398782;398291;398960;399927;402053;406022;407449;406810;406753;404626;401965;402197;402478;400809;399122;397407;395587;393677;391783;389961;388278;386662;385019;383340;381634;379901;378185;376513;374853;373158;371434;369727;368068;366416;364785;363131
20-24;343925;348091;352553;357532;363326;370005;377636;386576;395428;402062;405227;407298;404509;398934;392144;388512;386252;387318;390827;396584;398937;398436;399104;400085;402229;406208;407659;407056;407032;404955;402345;402608;402918;401286;399640;397962;396179;394306;392450;390661;389011;387425;385812;384162;382483;380780;379091;377445;375813;374142;372442
25-29;327491;331892;335191;337905;340818;344440;348562;352971;357895;363618;370216;377753;386581;395317;401867;404981;407017;404250;398719;391985;388381;386140;387200;390692;396420;398794;398348;399066;400093;402269;406263;407744;407186;407210;405190;402649;402948;403290;401711;400116;398488;396755;394927;393112;391367;389755;388212;386635;385025;383382;381715
30-34;289128;298023;306288;313757;320233;325650;330031;333328;336043;338955;342570;346674;351066;355966;361647;368199;375673;384416;393079;399576;402680;404721;402016;396582;389966;386453;384293;385395;388907;394629;397037;396647;397408;398470;400677;404678;406189;405682;405747;403785;401306;401639;402014;400485;398937;397354;395665;393884;392110;390403;388829
35-39;235776;245216;255400;265913;276121;285605;294427;302629;310054;316498;321898;326283;329597;332335;335272;338901;343012;347406;352299;357971;364495;371929;380622;389233;395706;398832;400909;398292;392977;386491;383069;380991;382139;385669;391380;393806;393464;394262;395358;397591;401592;403124;402657;402758;400851;398434;398794;399194;397710;396210;394668
40-44;194471;201439;208460;215747;223631;232265;241599;251669;262062;272163;281555;290296;298431;305805;312215;317595;321977;325308;328064;331016;334651;338763;343160;348047;353706;360206;367601;376242;384799;391243;394383;396491;393960;388759;382406;379075;377072;378252;381787;387474;389916;389617;390447;391570;393816;397808;399358;398928;399063;397207;394847
45-49;159321;165249;171355;177647;184138;190848;197724;204653;211852;219634;228157;237366;247296;257545;267509;276782;285423;293464;300767;307119;312461;316825;320153;322927;325894;329534;333646;338034;342906;348537;354999;362337;370897;379373;385758;388894;391017;388565;383486;377269;374036;372119;373333;376864;382503;384941;384677;385533;386678;388934;392906
50-54;127537;132887;138272;143720;149262;154923;160728;166712;172876;179242;185820;192564;199368;206439;214083;222450;231482;241221;251271;261044;270146;278639;286553;293751;300022;305310;309644;312970;315753;318729;322360;326453;330814;335650;341230;347618;354855;363293;371641;377938;381046;383176;380819;375894;369858;366742;364932;366179;369685;375247;377667
55-59;97462;102107;106860;111716;116683;121774;126943;132154;137432;142800;148290;153920;159724;165706;171885;178275;184832;191452;198335;205778;213917;222696;232156;241914;251413;260265;268539;276261;283291;289431;294619;298889;302189;304967;307935;311538;315589;319895;324656;330135;336402;343483;351725;359861;366003;369053;371165;368932;364217;358425;355472
60-64;70426;73922;77833;82042;86373;90717;95132;99654;104277;109009;113860;118789;123769;128811;133945;139196;144580;150136;155860;161781;167911;174201;180562;187182;194333;202150;210572;219633;228985;238088;246580;254530;261964;268743;274675;279703;283857;287090;289832;292758;296289;300244;304441;309072;314385;320448;327283;335213;343032;348941;351901
65-69;52375;54258;56165;58235;60648;63507;66756;70384;74284;78301;82333;86446;90654;94968;99382;103910;108518;113174;117898;122706;127620;132671;137882;143251;148812;154577;160493;166491;172732;179470;186832;194750;203259;212035;220577;228555;236036;243046;249453;255065;259834;263797;266895;269550;272382;275781;279574;283589;288007;293061;298812
70-74;37032;38385;39892;41495;43144;44805;46507;48243;50125;52312;54887;57795;61043;64529;68119;71731;75421;79205;83086;87063;91149;95303;99509;103782;108133;112577;117155;121876;126739;131788;137024;142408;147873;153562;159707;166411;173613;181335;189291;197038;204280;211078;217473;223324;228460;232833;236481;239358;241851;244508;247682
75-79;24999;25771;26570;27428;28372;29423;30585;31866;33231;34633;36050;37511;39005;40628;42510;44707;47178;49928;52876;55912;58976;62110;65332;68645;72043;75534;79085;82681;86351;90081;93894;97822;101874;106056;110405;114920;119569;124302;129231;134556;140361;146582;153234;160078;166739;172973;178836;184369;189440;193902;197702
80-84;14989;15452;15970;16534;17116;17716;18336;18985;19681;20440;21274;22187;23193;24261;25362;26472;27625;28814;30104;31599;33325;35260;37408;39705;42069;44463;46916;49449;52055;54732;57478;60279;63119;66021;68970;71987;75097;78306;81624;85082;88677;92389;96177;100126;104395;109039;114006;119301;124734;130018;134967
85-89;7926;8004;8169;8394;8663;8957;9285;9655;10053;10464;10885;11326;11790;12286;12823;13411;14045;14740;15481;16242;17013;17819;18656;19565;20618;21820;23166;24650;26235;27864;29522;31220;32984;34800;36668;38583;40539;42526;44561;46628;48742;50923;53178;55512;57949;60493;63126;65819;68629;71671;74978
90+;5133;5240;5338;5433;5532;5632;5754;5914;6103;6314;6534;6778;7063;7379;7708;8046;8408;8804;9233;9687;10172;10692;11261;11872;12501;13153;13840;14575;15369;16256;17232;18302;19467;20711;22021;23388;24822;26342;27928;29575;31274;33029;34842;36717;38638;40608;42643;44750;46939;49209;51565
Homens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;1789736;1821875;1854683;1887797;1921573;1955183;1986871;2018116;2049916;2081262;2112128;2142533;2172473;2201917;2230851;2259251;2287087;2314364;2341102;2367321;2393017;2418147;2442685;2466644;2490045;2512888;2535138;2556764;2577766;2598148;2617912;2637046;2655533;2673365;2690535;2707036;2722870;2738030;2752493;2766236;2779255;2791563;2803163;2814038;2824174;2833571;2842241;2850198;2857439;2863966;2869789
0-4;204945;204705;205061;205564;206652;208687;209399;209047;208997;207876;206480;206576;206696;205815;204922;204020;203062;202060;201063;200109;199225;198376;197514;196637;195748;194842;193945;193074;192206;191324;190429;189541;188677;187824;186974;186115;185256;184406;183544;182654;181731;180792;179844;178889;177927;176957;175971;174979;173989;173008;172045
05/set;198783;197607;198166;200001;203019;204280;204059;204426;204934;206028;208071;208798;208463;208425;207316;205931;206039;206170;205300;204419;203527;202581;201590;200603;199656;198783;197948;197095;196227;195348;194449;193563;192700;191844;190969;190081;189201;188345;187497;186655;185803;184951;184107;183252;182368;181450;180520;179579;178627;177672;176705
out/14;205771;207300;206193;203537;200185;198417;197250;197816;199654;202671;203933;203720;204089;204601;205699;207744;208474;208145;208110;207007;205629;205740;205876;205013;204141;203257;202317;201334;200354;199410;198546;197713;196865;196002;195127;194233;193355;192495;191644;190773;189892;189014;188165;187319;186480;185634;184786;183942;183092;182211;181296
15-19;185049;189136;194093;199140;203061;205146;206672;205576;202941;199615;197868;196727;197303;199140;202143;203396;203187;203560;204078;205181;207221;207946;207622;207599;206516;205161;205283;205428;204581;203728;202856;201932;200965;199999;199070;198219;197398;196563;195713;194849;193965;193100;192251;191411;190552;189681;188811;187972;187132;186303;185468
20-24;172338;174220;176161;178354;181082;184458;188499;193401;198388;202263;204323;205834;204756;202161;198882;197165;196050;196625;198448;201416;202648;202445;202829;203363;204483;206532;207273;206976;206979;205934;204622;204768;204934;204117;203297;202453;201558;200621;199683;198782;197958;197161;196351;195524;194681;193821;192978;192151;191334;190493;189642
25-29;163289;165531;167268;168711;170177;171876;173731;175643;177803;180486;183809;187784;192606;197508;201324;203352;204842;203791;201240;198013;196330;195241;195821;197639;200591;201841;201681;202100;202668;203813;205872;206636;206376;206418;205418;204160;204335;204527;203752;202971;202166;201311;200410;199506;198640;197847;197082;196302;195506;194694;193864
30-34;144285;148644;152667;156293;159458;162149;164366;166089;167524;168980;170665;172501;174397;176536;179182;182466;186384;191134;195971;199742;201755;203240;202228;199743;196600;194980;193949;194558;196389;199336;200610;200491;200941;201534;202699;204762;205550;205328;205401;204445;203230;203431;203647;202910;202164;201394;200574;199707;198834;197997;197230
35-39;118256;122645;127517;132637;137633;142266;146565;150537;154121;157255;159925;162134;163854;165293;166756;168440;170275;172168;174298;176930;180186;184068;188773;193564;197310;199331;200833;199879;197470;194415;192855;191880;192518;194359;197299;198587;198500;198974;199590;200772;202837;203640;203446;203543;202626;201454;201675;201911;201206;200490;199751
40-44;99478;102645;105671;108739;112135;116007;120325;125118;130156;135074;139640;143880;147807;151352;154459;157110;159312;161035;162483;163955;165640;167475;169369;171497;174119;177356;181211;185874;190624;194345;196369;197887;196988;194655;191686;190185;189260;189920;191766;194689;195989;195931;196427;197062;198253;200312;201129;200963;201084;200204;199072
45-49;81107;84250;87505;90811;94082;97274;100385;103357;106373;109714;113517;117758;122462;127409;132238;136729;140904;144769;148265;151334;153960;156147;157866;159320;160799;162487;164321;166215;168337;170942;174155;177970;182577;187269;190948;192965;194486;193635;191374;188490;187049;186176;186855;188698;191594;192893;192858;193370;194019;195217;197263
50-54;64519;67236;69973;72756;75617;78578;81631;84798;88015;91197;94307;97339;100239;103186;106451;110164;114299;118887;123712;128418;132800;136882;140666;144097;147114;149704;151870;153581;155038;156521;158205;160029;161913;164017;166594;169762;173515;178039;182643;186257;188247;189764;188964;186794;184016;182646;181842;182542;184371;187219;188507
55-59;48982;51289;53641;56043;58512;61059;63656;66274;68940;71683;74524;77455;80497;83587;86644;89636;92558;95358;98204;101359;104942;108929;113349;117993;122531;126758;130704;134371;137700;140636;143163;145288;146978;148429;149905;151574;153376;155234;157301;159822;162917;166571;170965;175425;178930;180872;182364;181633;179587;176958;175685
60-64;34946;36616;38533;40622;42766;44898;47055;49259;51510;53827;56217;58657;61122;63632;66220;68899;71665;74535;77452;80344;83178;85945;88603;91312;94308;97711;101492;105674;110069;114366;118373;122121;125613;128789;131598;134025;136077;137720;139144;140592;142220;143969;145771;147771;150198;153168;156665;160854;165100;168441;170310
65-69;26042;26899;27711;28574;29618;30915;32436;34177;36072;38020;39956;41925;43935;45993;48113;50301;52537;54800;57107;59486;61948;64496;67141;69828;72497;75116;77675;80142;82658;85438;88592;92092;95954;100011;103978;107683;111153;114397;117356;119977;122251;124187;125743;127107;128496;130047;131707;133416;135307;137589;140375
70-74;17887;18535;19295;20113;20926;21700;22449;23167;23934;24854;25993;27315;28830;30476;32166;33851;35568;37326;39128;40987;42909;44871;46863;48897;50994;53165;55417;57755;60129;62491;64812;67083;69278;71521;74001;76808;79919;83343;86935;90449;93732;96814;99709;102353;104701;106747;108497;109915;111174;112458;113883
75-79;11896;12192;12482;12797;13173;13627;14157;14774;15437;16094;16721;17336;17928;18564;19325;20259;21335;22562;23896;25264;26633;28030;29464;30940;32465;34042;35653;37289;38968;40698;42491;44350;46283;48249;50204;52129;54015;55845;57717;59790;62136;64726;67569;70546;73458;76180;78743;81161;83375;85348;87068
80-84;6834;7044;7276;7521;7757;7984;8207;8429;8673;8960;9299;9688;10142;10627;11110;11567;12023;12466;12943;13514;14205;14998;15901;16880;17881;18887;19915;20978;22073;23207;24377;25578;26797;28052;29346;30690;32084;33533;35010;36479;37925;39347;40732;42152;43726;45507;47469;49613;51852;54040;56090
85-89;3376;3391;3454;3547;3661;3780;3916;4066;4223;4373;4517;4664;4810;4973;5160;5380;5627;5915;6221;6524;6813;7106;7390;7698;8070;8512;9019;9592;10212;10843;11482;12133;12815;13515;14244;14993;15765;16550;17360;18197;19067;19970;20911;21869;22823;23762;24688;25594;26526;27563;28736
90+;1953;1990;2016;2037;2059;2082;2113;2162;2221;2292;2363;2442;2537;2639;2741;2841;2946;3058;3183;3319;3468;3631;3820;4021;4222;4423;4632;4849;5084;5353;5654;5991;6361;6761;7178;7612;8067;8555;9063;9593;10140;10708;11296;11907;12541;13199;13882;14594;15324;16061;16799
Mulheres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;1763412;1796165;1829643;1863496;1898063;1932557;1965300;1997696;2030695;2063335;2095586;2127462;2158957;2190043;2220700;2250900;2280616;2309847;2338612;2366930;2394799;2422165;2448990;2475290;2501084;2526367;2551098;2575245;2598803;2621771;2644147;2665911;2687041;2707524;2727352;2746516;2765006;2782810;2799903;2816260;2831870;2846741;2860873;2874240;2886821;2898607;2909606;2919830;2929267;2937907;2945748
0-4;196099;195794;196074;196508;197519;199451;200134;199799;199745;198671;197336;197425;197536;196693;195835;194968;194048;193087;192133;191219;190370;189555;188728;187883;187027;186158;185298;184459;183626;182776;181913;181060;180228;179411;178593;177768;176943;176127;175300;174442;173556;172654;171744;170827;169904;168972;168027;167076;166126;165186;164263
05/set;190437;189293;189797;191511;194339;195479;195195;195489;195936;196959;198897;199599;199280;199238;198178;196855;196958;197081;196248;195400;194545;193637;192684;191741;190838;189996;189189;188371;187532;186684;185823;184969;184137;183307;182465;181606;180763;179933;179118;178308;177487;176667;175854;175032;174176;173294;172396;171489;170577;169658;168728
