Distrito Federal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;3738900;1802857;1936043;35979;31796;0.33;9.62;8.5;82.28;78.9;85.18;6.49;6.9;6.06;1.56;21.52;30.54;52.06;141.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;3750030;1808357;1941673;35776;32750;0.3;9.54;8.73;82.33;78.96;85.22;6.42;6.82;6;1.56;21.42;31.7;53.12;147.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;3760007;1813302;1946705;35590;33712;0.27;9.47;8.97;82.38;79.02;85.27;6.35;6.74;5.93;1.55;21.33;32.85;54.18;154.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;3768831;1817693;1951138;35398;34676;0.23;9.39;9.2;82.42;79.08;85.31;6.28;6.67;5.87;1.55;21.25;33.96;55.21;159.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;3776493;1821527;1954966;35202;35649;0.2;9.32;9.44;82.46;79.13;85.35;6.22;6.6;5.82;1.54;21.17;35;56.18;164.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;3782994;1824805;1958189;35020;36622;0.17;9.26;9.68;82.5;79.18;85.39;6.15;6.53;5.76;1.54;21.09;35.99;57.08;170.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;3788348;1827535;1960813;34852;37592;0.14;9.2;9.92;82.54;79.23;85.43;6.09;6.46;5.71;1.53;21.02;36.92;57.94;175.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;3792555;1829718;1962837;34663;38561;0.11;9.14;10.17;82.57;79.27;85.46;6.04;6.4;5.65;1.53;20.95;37.79;58.74;180.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;3795598;1831347;1964251;34450;39514;0.08;9.08;10.41;82.6;79.31;85.49;5.98;6.34;5.6;1.53;20.89;38.6;59.49;184.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;3797474;1832421;1965053;34219;40452;0.05;9.01;10.65;82.63;79.35;85.52;5.93;6.28;5.56;1.52;20.82;39.36;60.19;189.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;3798193;1832944;1965249;33996;41374;0.02;8.95;10.89;82.66;79.39;85.55;5.88;6.22;5.51;1.52;20.76;40.07;60.83;193.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
